title,startDate,endDate,season,seasonYear,tags,format,status,episodes,genres,popularity,averageScore,countryOfOrigin,source,studios,rankings
Kaleido Star: Legend of Phoenix,12-2005,12-2005,FALL,2005.0,"['Circus', 'Foreign', 'Shoujo']",OVA,FINISHED,1.0,"['Comedy', 'Drama', 'Fantasy', 'Sports']",2082,73.0,JP,ORIGINAL,GONZO,3.0
Fullmetal Alchemist: The Movie - Conqueror of Shamballa,7-2005,7-2005,SUMMER,2005.0,"['Historical', 'Shounen', 'Foreign', 'Alternate Universe', 'Male Protagonist', 'Alchemy', 'Military', 'Cult', 'War', 'Steampunk', 'Philosophy', 'CGI']",MOVIE,FINISHED,1.0,"['Action', 'Comedy', 'Drama', 'Fantasy']",43356,70.0,JP,MANGA,bones,127.0
Howl‘s Moving Castle,11-2004,11-2004,FALL,2004.0,"['Magic', 'Female Protagonist', 'Steampunk', 'Witch', 'War', 'Shapeshifting', 'Heterosexual', 'Fairy Tale', 'Disability', 'Travel', 'Philosophy', 'Rural', 'Politics', 'Demons', 'Maids', 'CGI', 'Aviation', 'Time Manipulation']",MOVIE,FINISHED,1.0,"['Adventure', 'Drama', 'Fantasy', 'Romance']",248779,84.0,JP,OTHER,Studio Ghibli,17.0
Iria: Zeiram The Animation,6-1994,11-1994,SUMMER,1994.0,"['Female Protagonist', 'Space', 'Guns', 'Tokusatsu', 'Aliens', 'Primarily Adult Cast', 'Tomboy', 'Primarily Male Cast']",OVA,FINISHED,6.0,"['Action', 'Adventure', 'Sci-Fi']",6124,65.0,JP,ORIGINAL,Bandai Visual,11.0
The Place Promised in Our Early Days,11-2004,11-2004,FALL,2004.0,"['Alternate Universe', 'Military', 'Coming of Age', 'Aviation', 'Trains', 'Terrorism', 'CGI', 'School']",MOVIE,FINISHED,1.0,"['Drama', 'Romance', 'Sci-Fi']",40004,68.0,JP,ORIGINAL,ADV Films,146.0
Legend of Lemnear,7-1989,7-1989,SUMMER,1989.0,"['Slavery', 'Dragons', 'Revenge', 'Female Protagonist', 'Martial Arts', 'Demons', 'Magic', 'Nudity', 'Rape']",OVA,FINISHED,1.0,"['Action', 'Adventure', 'Fantasy']",2285,50.0,JP,ORIGINAL,AIC,0.0
Magic Knight Rayearth,10-1994,3-1995,FALL,1994.0,"['Magic', 'Swordplay', 'Isekai', 'Female Protagonist', 'Super Power', 'Primarily Female Cast', 'Super Robot', 'Tragedy', 'Shoujo', 'Henshin', 'Ojou-sama', 'Primarily Teen Cast', 'Primarily Child Cast', 'Chibi', 'Kuudere', 'Heterosexual']",TV,FINISHED,20.0,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Mahou Shoujo', 'Mecha']",13412,70.0,JP,MANGA,Tokyo Movie Shinsha,4.0
Perfect Blue,2-1998,2-1998,WINTER,1998.0,"['Dissociative Identities', 'Denpa', 'Female Protagonist', 'Acting', 'Idol', 'Otaku Culture', 'Work', 'Primarily Adult Cast', 'Meta', 'Philosophy', 'Tragedy', 'Gore', 'Rape', 'Nudity', 'Noir', 'Filmmaking']",MOVIE,FINISHED,1.0,"['Drama', 'Horror', 'Psychological', 'Thriller']",162432,85.0,JP,OTHER,MADHOUSE,15.0
Phantom: The Animation,2-2004,11-2004,WINTER,2004.0,"['Assassins', 'Guns', 'Kuudere', 'Foreign']",OVA,FINISHED,3.0,"['Action', 'Drama', 'Thriller']",2693,58.0,JP,VISUAL_NOVEL,KSS,19.0
RG Veda,6-1991,6-1992,SUMMER,1991.0,"['Mythology', 'Shoujo', 'Dissociative Identities', 'Gods', 'Demons']",OVA,FINISHED,2.0,"['Adventure', 'Drama', 'Fantasy']",1763,52.0,JP,MANGA,Animate,24.0
